brand,description,link,price,discount
SKYBAGS,21.65 L Backpack BRAT,/skybags-brat-21-65-l-backpack/p/itma15144b840430?pid=BKPGF764YMNH4TGG&lid=LSTBKPGF764YMNH4TGGTIAS8L&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_21&otracker=search&fm=organic&iid=52c5cd1f-59ad-41ee-8055-359a2f299b61.BKPGF764YMNH4TGG.SEARCH&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹659,68% off
LOUIS CARON,Medium 30 L Backpack Design Laptop Backpack,/louis-caron-design-laptop-backpack-30-l/p/itmfdqy73bjgv9gk?pid=BKPFDPSEJSCXW6DC&lid=LSTBKPFDPSEJSCXW6DCCSSY5Q&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_22&otracker=search&fm=organic&iid=52c5cd1f-59ad-41ee-8055-359a2f299b61.BKPFDPSEJSCXW6DC.SEARCH&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹441,74% off
Flycraft,Large 35 L Laptop Backpack simna.1378 large 35 L airpor...,/flycraft-simna-1378-large-35-l-airport-blue-spacy-unisex-laptop-backpack-rain-cover-reflective-strip-style/p/itm968e7e91d1673?pid=BKPG54CSACWR5BXF&lid=LSTBKPG54CSACWR5BXFLPKR2P&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_23&otracker=search&fm=organic&iid=52c5cd1f-59ad-41ee-8055-359a2f299b61.BKPG54CSACWR5BXF.SEARCH&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹749,75% off
WROGN,55 L Laptop Backpack Laptop backpack spacy unisex backp...,/wrogn-laptop-backpack-spacy-unisex-fits-upto-16-inches-college-bag-school-bag-55-l/p/itm5c0c70d03e7be?pid=BKPGHCJCAZVHMUNK&lid=LSTBKPGHCJCAZVHMUNK5R9CDD&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_24&otracker=search&fm=organic&iid=en_FtK9nqzhOKtP9biy%2B8qeXbggH4G94yrZaCfyhHnujnzb0%2BEKWEpZ7g2Vj9w77%2BFGNswnAJ14jx89ouKCBqXxTA%3D%3D&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹779,80% off
PROVOGUE,41.5 L Laptop Backpack Spacy Freeride Unisex Bag with r...,/provogue-spacy-freeride-unisex-bag-rain-cover-office-school-college-businesse-41-5l-41-5-l-backpack/p/itm4d00725ab191b?pid=BKPGG8HDYFNTZ5GY&lid=LSTBKPGG8HDYFNTZ5GYBXX1G3&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_25&otracker=search&fm=organic&iid=52c5cd1f-59ad-41ee-8055-359a2f299b61.BKPGG8HDYFNTZ5GY.SEARCH&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹786,82% off
sky spirit,Large 40 L Laptop Backpack Waterproof Large 40L Laptop ...,/sky-spirit-waterproof-large-40l-laptop-backpack-heavey-duty-40-l/p/itm1244fd636d23e?pid=BKPGJHQHKDXJPEVQ&lid=LSTBKPGJHQHKDXJPEVQGQ0852&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_26&otracker=search&fm=organic&iid=52c5cd1f-59ad-41ee-8055-359a2f299b61.BKPGJHQHKDXJPEVQ.SEARCH&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹449,77% off
aob,Large 70 L Backpack UNISEX WaterProof Mountain Rucksack...,/aob-unisex-waterproof-mountain-rucksack-hiking-trekking-camping-bag-backpack-travel-70-l-backpack/p/itm6ba5851716f5f?pid=BKPGK4NXHWPAATN5&lid=LSTBKPGK4NXHWPAATN58RVCHU&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_27&otracker=search&fm=organic&iid=52c5cd1f-59ad-41ee-8055-359a2f299b61.BKPGK4NXHWPAATN5.SEARCH&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹695,76% off
FAVIO,"Black, Orange Men Sling Bag - Extra Large",/favio-black-orange-sling-bag-black-men-regular-size/p/itm4ac17b7690bbd?pid=SLBG72KVFAXHAVVM&lid=LSTSLBG72KVFAXHAVVM5419XA&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_28&otracker=search&fm=organic&iid=en_FtK9nqzhOKtP9biy%2B8qeXbggH4G94yrZaCfyhHnujnyL%2Br2TXjWWdz0lZ%2Bgq3dpuOgZF8k1%2BMYiTRWWPlqvQHA%3D%3D&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹431,56% off
AMERICAN TOURISTER,32.5 L Backpack Fizz Sch Bag,/american-tourister-fizz-sch-bag-32-5-l-backpack/p/itmf47g6mwyxumsx?pid=BKPF47G6G8AA24RR&lid=LSTBKPF47G6G8AA24RR12X13G&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_29&otracker=search&fm=organic&iid=52c5cd1f-59ad-41ee-8055-359a2f299b61.BKPF47G6G8AA24RR.SEARCH&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,"₹1,029",55% off
Flycraft,Large 35 L Laptop Backpack simn.1552/1 orange black off...,/flycraft-simn-1552-1-orange-black-office-travel-laptop-backpack-35-l/p/itm27ae7aa8015ca?pid=BKPG54H3GBNAHT3M&lid=LSTBKPG54H3GBNAHT3MKWI4YB&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_30&otracker=search&fm=organic&iid=52c5cd1f-59ad-41ee-8055-359a2f299b61.BKPG54H3GBNAHT3M.SEARCH&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹749,72% off
SAFARI,Medium 29 L Backpack SPREEUSB 19 CASUAL BACKPACK BLUE,/safari-spreeusb-19-casual-backpack-blue-29-l-medium/p/itmf8j9zfgpe3u9z?pid=BKPF8J8AWDJ9EEFE&lid=LSTBKPF8J8AWDJ9EEFEHQYYJE&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_31&otracker=search&fm=organic&iid=52c5cd1f-59ad-41ee-8055-359a2f299b61.BKPF8J8AWDJ9EEFE.SEARCH&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹849,67% off
,"Gotrippin Travel Money Belt, Waist Pouch Bag with RFID ...",/gotrippin-travel-money-belt-waist-pouch-bag-rfid-security-black/p/itm981c71ba4ea1f?pid=WSBFUUGKZDTZDKP8&lid=LSTWSBFUUGKZDTZDKP8DLL5YM&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_32&otracker=search&fm=organic&iid=en_FtK9nqzhOKtP9biy%2B8qeXbggH4G94yrZaCfyhHnujnw1X2N4avgPkQg2%2Fco29Ga6BqWEwiYhHQG0EQ%2Fj2mKe9g%3D%3D&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹849,39% off
STOIC,Small 16 L Backpack Small backpack casual daypack -1 co...,/stoic-small-backpack-casual-daypack-1-compartment-mini-16-l/p/itm6991b5543baf1?pid=BKPGD7GAUSHPNEFR&lid=LSTBKPGD7GAUSHPNEFRMMILO6&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_33&otracker=search&fm=organic&iid=52c5cd1f-59ad-41ee-8055-359a2f299b61.BKPGD7GAUSHPNEFR.SEARCH&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹279,65% off
Arctic Fox,Small 15 L Backpack Black Drawstring Bag,/arctic-fox-black-drawstring-bag-15-l-backpack/p/itmc900936430027?pid=BKPFWGJSZU7NWCRH&lid=LSTBKPFWGJSZU7NWCRHURDIP3&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_34&otracker=search&fm=organic&iid=52c5cd1f-59ad-41ee-8055-359a2f299b61.BKPFWGJSZU7NWCRH.SEARCH&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹229,34% off
Flycraft,Medium 30 L Laptop Backpack simna.1550 black yellow cas...,/flycraft-simna-1550-black-yellow-casual-unisex-travel-office-massenger-school-backpack-30-l/p/itmbac7fd4d8bda4?pid=BKPGYA36SABF2GZF&lid=LSTBKPGYA36SABF2GZFIGQE21&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_35&otracker=search&fm=organic&iid=52c5cd1f-59ad-41ee-8055-359a2f299b61.BKPGYA36SABF2GZF.SEARCH&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹521,67% off
,Nice Purse black waist bag waist bag,/nice-purse-black-waist-bag/p/itm9dba4c5e69b33?pid=WSBFPNWYU98AGPE5&lid=LSTWSBFPNWYU98AGPE5ZJLZDH&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_36&otracker=search&fm=organic&iid=en_FtK9nqzhOKtP9biy%2B8qeXbggH4G94yrZaCfyhHnujnxnKjTf6%2BIe1WfLWwkdRVKUryRXifzjK9iimXG5YH4l6Q%3D%3D&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹227,62% off
Lunar,Large 35 L Backpack Comet,/lunar-comet-35-l-backpack/p/itma7fe4f7908c37?pid=BKPFJFMR9N2ZGGCH&lid=LSTBKPFJFMR9N2ZGGCH9BN2KO&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_37&otracker=search&fm=organic&iid=52c5cd1f-59ad-41ee-8055-359a2f299b61.BKPFJFMR9N2ZGGCH.SEARCH&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹849,50% off
Messi,Large 35 L Laptop Backpack Laptop Backpack with rain co...,/messi-laptop-backpack-rain-cover-school-official-casual-35l-blue-35-l/p/itm19a380c84f055?pid=BKPGG8GGSAW9UPYG&lid=LSTBKPGG8GGSAW9UPYGWLHNCT&marketplace=FLIPKART&q=bags&store=search.flipkart.com&srno=s_1_38&otracker=search&fm=organic&iid=52c5cd1f-59ad-41ee-8055-359a2f299b61.BKPGG8GGSAW9UPYG.SEARCH&ppt=None&ppn=None&ssid=18g1l37knk0000001672751005012&qH=404e218d27fee49e,₹494,75% off
