brand,description,link,price,discount
World Wear Footwear,Amazing New Collection of Stylish Comfortable Shoes Run...,/world-wear-footwear-amazing-new-collection-stylish-comfortable-shoes-running-men/p/itm06922ea4d418b?pid=SHOGFY3DDRMEAGGV&lid=LSTSHOGFY3DDRMEAGGVAEJZDU&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_22&otracker=search&fm=organic&iid=161c6310-56f0-4bd4-a619-119e2a0f3ca2.SHOGFY3DDRMEAGGV.SEARCH&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,₹419,58% off
BRUTON,Trendy Running Shoes Running Shoes For Men,/bruton-trendy-running-shoes-men/p/itmdd3c8052f3332?pid=SHOGFMHU3WAXGPE7&lid=LSTSHOGFMHU3WAXGPE7R75VFS&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_23&otracker=search&fm=organic&iid=161c6310-56f0-4bd4-a619-119e2a0f3ca2.SHOGFMHU3WAXGPE7.SEARCH&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,₹399,69% off
RED CHIEF,RC3496 Lace Up For Men,/red-chief-rc3496-lace-up-men/p/itmfavrctspjpmgh?pid=SHOFAVRCQRK3VHJH&lid=LSTSHOFAVRCQRK3VHJH0NMESR&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_24&otracker=search&fm=organic&iid=en_qW8pixY3o%2B95z4jgHsE2%2Fh85a1Cp1c3tbpfiHes2xHWHL1vzs%2FGDiEVOa3kdH4byV20K8Goze%2FyHDh%2BVeBq%2BeQ%3D%3D&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,"₹1,977",40% off
asian,"Cosko Sports Shoes,Running Shoes,Walking Shoes,Training...",/asian-cosko-sports-shoes-running-shoes-walking-shoes-training-shoes-men/p/itmfe3bnzhckr7n5?pid=SHOFEFWHHEWFKMED&lid=LSTSHOFEFWHHEWFKMEDYBYFYF&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_25&otracker=search&fm=organic&iid=161c6310-56f0-4bd4-a619-119e2a0f3ca2.SHOFEFWHHEWFKMED.SEARCH&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,₹599,40% off
asian,Oxygen-01 white Running shoes dual capsule technology f...,/asian-oxygen-01-white-running-shoes-dual-capsule-technology-boys-sports-men-latest-stylish-casual-sneakers-lace-up-lightweight-running-walking-gym-trekking-hiking-party/p/itm377956c02645a?pid=SHOG9ZZDFVT9GECU&lid=LSTSHOG9ZZDFVT9GECUGGD4D8&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_26&otracker=search&fm=organic&iid=161c6310-56f0-4bd4-a619-119e2a0f3ca2.SHOG9ZZDFVT9GECU.SEARCH&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,"₹1,149",42% off
HRX by Hrithik Roshan,VELOCITY Running Shoes For Men,/hrx-hrithik-roshan-velocity-running-shoes-men/p/itmbafcf3419de4c?pid=SHOGGTMZ9BSPP8BH&lid=LSTSHOGGTMZ9BSPP8BH550GYF&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_27&otracker=search&fm=organic&iid=161c6310-56f0-4bd4-a619-119e2a0f3ca2.SHOGGTMZ9BSPP8BH.SEARCH&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,"₹1,199",65% off
VENDOZ,Casual Stylish Trending Sneakers For Women,/vendoz-casual-stylish-trending-sneakers-women/p/itmce792f6d59fa8?pid=SHOGFXEPGKZH2GGG&lid=LSTSHOGFXEPGKZH2GGGMVREGM&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_28&otracker=search&fm=organic&iid=en_qW8pixY3o%2B95z4jgHsE2%2Fh85a1Cp1c3tbpfiHes2xHXu3dZRXuynyJ%2FlgCZpUaQSrua1vedPfVcDp8OLWZZF4A%3D%3D&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,₹499,50% off
World Wear Footwear,Men 9325 Latest Collection Stylish Sports Sneakers Runn...,/world-wear-footwear-men-9325-latest-collection-stylish-sports-sneakers-running-shoes/p/itmd8d6f0cbb70a2?pid=SHOFZKGHCYFM24RH&lid=LSTSHOFZKGHCYFM24RHNI6HW4&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_29&otracker=search&fm=organic&iid=161c6310-56f0-4bd4-a619-119e2a0f3ca2.SHOFZKGHCYFM24RH.SEARCH&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,₹419,58% off
PUMA,Hustle XT Walking Shoes For Men,/puma-hustle-xt-walking-shoes-men/p/itm7759d9738f1a3?pid=SHOFNU2WRY8AY4ZH&lid=LSTSHOFNU2WRY8AY4ZH5DIWLL&marketplace=FLIPKART&q=shoes&store=osp&srno=s_1_30&otracker=search&fm=organic&iid=161c6310-56f0-4bd4-a619-119e2a0f3ca2.SHOFNU2WRY8AY4ZH.SEARCH&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,"₹2,999",25% off
asian,Casuals For Men,/asian-casuals-men/p/itmbaefe8cb847bd?pid=SHOG5WA9ZGDHAMZW&lid=LSTSHOG5WA9ZGDHAMZW4FMEFM&marketplace=FLIPKART&q=shoes&store=osp&spotlightTagId=BestvalueId_osp&srno=s_1_31&otracker=search&fm=organic&iid=161c6310-56f0-4bd4-a619-119e2a0f3ca2.SHOG5WA9ZGDHAMZW.SEARCH&ppt=None&ppn=None&ssid=x4j3gluvxc0000001672751102867&qH=b0a8b6f820479900,"₹1,149",42% off
